Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-04-08,AAPL,BUY,2,167.37789916992188,14985.238906860352,"{'AMZN': 9, 'GOOGL': 9, 'NVDA': 59, 'V': 4, 'AAPL': 2}",20231.04263496399
2022-04-08,AMZN,BUY,3,154.4604949951172,14521.857421875,"{'AMZN': 12, 'GOOGL': 9, 'NVDA': 59, 'V': 4, 'AAPL': 2}",20201.12658882141
2022-04-08,GOOGL,BUY,3,132.8060760498047,14123.439193725586,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 59, 'V': 4, 'AAPL': 2}",20177.802339553833
2022-04-08,META,BUY,2,221.4839324951172,13680.471328735352,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 59, 'V': 4, 'AAPL': 2, 'META': 2}",20177.802339553833
2022-04-08,MSFT,BUY,1,290.0613098144531,13390.410018920898,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 59, 'V': 4, 'AAPL': 2, 'META': 2, 'MSFT': 1}",20177.802339553833
2022-04-08,NVDA,BUY,21,23.084545135498047,12905.63457107544,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 80, 'V': 4, 'AAPL': 2, 'META': 2, 'MSFT': 1}",20113.646839141846
2022-04-08,V,SELL,4,212.3785858154297,13755.148914337158,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 80, 'AAPL': 2, 'META': 2, 'MSFT': 1}",20116.896350860596
2022-04-11,AAPL,BUY,3,163.10708618164062,13265.827655792236,"{'AMZN': 12, 'GOOGL': 12, 'NVDA': 80, 'AAPL': 5, 'META': 2, 'MSFT': 1}",20108.354724884033
2022-04-11,AMZN,BUY,3,151.1219940185547,12812.461673736572,"{'AMZN': 15, 'GOOGL': 12, 'NVDA': 80, 'AAPL': 5, 'META': 2, 'MSFT': 1}",20068.292713165283
2022-04-11,GOOGL,BUY,3,128.35818481445312,12427.387119293213,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 80, 'AAPL': 5, 'META': 2, 'MSFT': 1}",20014.918018341064
2022-04-11,JNJ,BUY,3,165.91404724121094,11929.64497756958,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 80, 'AAPL': 5, 'META': 2, 'MSFT': 1, 'JNJ': 3}",20014.918018341064
2022-04-11,META,BUY,2,215.6363067626953,11498.37236404419,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 80, 'AAPL': 5, 'META': 4, 'MSFT': 1, 'JNJ': 3}",20003.22276687622
2022-04-11,MSFT,BUY,1,278.62371826171875,11219.74864578247,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 80, 'AAPL': 5, 'META': 4, 'MSFT': 2, 'JNJ': 3}",19991.785175323486
2022-04-11,NVDA,BUY,22,21.884336471557617,10738.293243408203,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 102, 'AAPL': 5, 'META': 4, 'MSFT': 2, 'JNJ': 3}",19895.768482208252
2022-04-11,TSLA,BUY,1,325.30999755859375,10412.98324584961,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 102, 'AAPL': 5, 'META': 4, 'MSFT': 2, 'JNJ': 3, 'TSLA': 1}",19895.768482208252
2022-04-11,V,BUY,2,210.19586181640625,9992.591522216797,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 102, 'AAPL': 5, 'META': 4, 'MSFT': 2, 'JNJ': 3, 'TSLA': 1, 'V': 2}",19895.768482208252
2022-04-12,AAPL,SELL,5,164.98660278320312,10817.524536132812,"{'AMZN': 15, 'GOOGL': 15, 'NVDA': 102, 'META': 4, 'MSFT': 2, 'JNJ': 3, 'TSLA': 1, 'V': 2}",19905.166065216064
2022-04-12,AMZN,BUY,3,150.78750610351562,10365.162017822266,"{'AMZN': 18, 'GOOGL': 15, 'NVDA': 102, 'META': 4, 'MSFT': 2, 'JNJ': 3, 'TSLA': 1, 'V': 2}",19900.14874649048
